elapsed_secs,iter,best,incumbent,deviation,w0,w1,w2
70.02,475267,42930.0000,49717.0000,8569.300854,0.6431,0.2037,0.1531
71.02,480519,42930.0000,50988.0000,8569.062342,0.6431,0.2037,0.1531
72.02,486017,42930.0000,51372.0000,8568.823812,0.6431,0.2037,0.1531
73.02,491611,42930.0000,49298.0000,8568.585218,0.6431,0.2037,0.1531
74.02,496991,42930.0000,50635.0000,8568.346656,0.6431,0.2037,0.1531
75.02,502587,42930.0000,50426.0000,8568.108144,0.6431,0.2037,0.1531
76.02,508033,42930.0000,51192.0000,8567.869614,0.6431,0.2037,0.1531
77.02,513137,42930.0000,49905.0000,8567.631092,0.6431,0.2037,0.1531
78.02,518555,42930.0000,51247.0000,8567.392567,0.6431,0.2037,0.1531
79.02,523762,42930.0000,50240.0000,8567.154017,0.6431,0.2037,0.1531
80.02,529201,42930.0000,50819.0000,8566.915432,0.6944,0.1802,0.1254
81.02,534392,42930.0000,47429.0000,8566.676915,0.6944,0.1802,0.1254
82.02,539775,42930.0000,49478.0000,8566.438350,0.6944,0.1802,0.1254
83.02,545113,42930.0000,51093.0000,8566.199822,0.6944,0.1802,0.1254
84.02,550323,42930.0000,51407.0000,8565.961298,0.6944,0.1802,0.1254
85.02,555466,42930.0000,50900.0000,8565.722730,0.6944,0.1802,0.1254
86.02,560607,42930.0000,51489.0000,8565.484206,0.6944,0.1802,0.1254
87.02,565689,42930.0000,51245.0000,8565.245684,0.6944,0.1802,0.1254
88.02,570900,42930.0000,49216.0000,8565.007156,0.6944,0.1802,0.1254
89.02,576181,42930.0000,50829.0000,8564.768654,0.6944,0.1802,0.1254
90.02,580887,42930.0000,50112.0000,8564.530137,0.6944,0.1802,0.1254
91.02,586023,42930.0000,51317.0000,8564.291550,0.6944,0.1802,0.1254
92.02,591332,42930.0000,50938.0000,8564.052898,0.6944,0.1802,0.1254
93.02,596578,42930.0000,50017.0000,8563.814393,0.6944,0.1802,0.1254
94.02,601695,42930.0000,47924.0000,8563.575869,0.6944,0.1802,0.1254
95.02,606808,42930.0000,50913.0000,8563.337337,0.6944,0.1802,0.1254
96.02,611996,42930.0000,49401.0000,8563.098776,0.6944,0.1802,0.1254
97.02,616995,42930.0000,50484.0000,8562.860263,0.6944,0.1802,0.1254
98.02,622150,42930.0000,51068.0000,8562.621724,0.6944,0.1802,0.1254
99.02,627262,42930.0000,51406.0000,8562.383222,0.6944,0.1802,0.1254
100.02,632402,42930.0000,51450.0000,8562.144679,0.7332,0.1614,0.1054
101.02,637365,42930.0000,50897.0000,8561.906126,0.7332,0.1614,0.1054
102.02,642268,42930.0000,50543.0000,8561.667601,0.7332,0.1614,0.1054
103.02,647322,42930.0000,50713.0000,8561.429067,0.7332,0.1614,0.1054
104.02,652399,42930.0000,51355.0000,8561.190534,0.7332,0.1614,0.1054
105.02,657274,42930.0000,50915.0000,8560.952019,0.7332,0.1614,0.1054
106.02,662255,42930.0000,48227.0000,8560.713415,0.7332,0.1614,0.1054
107.02,667223,42930.0000,49443.0000,8560.474865,0.7332,0.1614,0.1054
108.02,672110,42930.0000,50658.0000,8560.236315,0.7332,0.1614,0.1054
109.02,677261,42930.0000,50862.0000,8559.997711,0.7332,0.1614,0.1054
110.02,682302,42930.0000,50075.0000,8559.759188,0.7332,0.1614,0.1054
111.02,687457,42930.0000,50978.0000,8559.520682,0.7332,0.1614,0.1054
112.02,692431,42930.0000,49973.0000,8559.282168,0.7332,0.1614,0.1054
113.02,697265,42930.0000,50537.0000,8559.043635,0.7332,0.1614,0.1054
114.02,702232,42930.0000,51338.0000,8558.805086,0.7332,0.1614,0.1054
115.02,707232,42930.0000,49184.0000,8558.566572,0.7332,0.1614,0.1054
116.03,712227,42930.0000,51156.0000,8558.328008,0.7332,0.1614,0.1054
117.03,717204,42930.0000,50584.0000,8558.089456,0.7332,0.1614,0.1054
118.03,721847,42930.0000,50972.0000,8557.850906,0.7332,0.1614,0.1054
119.03,726822,42930.0000,49886.0000,8557.612361,0.7332,0.1614,0.1054
120.03,731763,42930.0000,49785.0000,8557.373796,0.7602,0.1488,0.0910
121.03,736467,42930.0000,51074.0000,8557.135211,0.7602,0.1488,0.0910
122.03,741248,42930.0000,48698.0000,8556.896629,0.7602,0.1488,0.0910
123.03,746167,42930.0000,51041.0000,8556.658112,0.7602,0.1488,0.0910
124.03,750922,42930.0000,48679.0000,8556.419572,0.7602,0.1488,0.0910
125.03,755625,42930.0000,51384.0000,8556.180984,0.7602,0.1488,0.0910
126.03,760418,42930.0000,50858.0000,8555.942438,0.7602,0.1488,0.0910
127.03,765133,42930.0000,50025.0000,8555.703904,0.7602,0.1488,0.0910
128.03,770015,42930.0000,48502.0000,8555.465357,0.7602,0.1488,0.0910
129.03,774855,42930.0000,49757.0000,8555.226796,0.7602,0.1488,0.0910
130.03,779612,42930.0000,47709.0000,8554.988269,0.7602,0.1488,0.0910
131.03,784442,42930.0000,49597.0000,8554.749727,0.7602,0.1488,0.0910
132.03,789240,42930.0000,50368.0000,8554.511190,0.7602,0.1488,0.0910
133.03,794046,42930.0000,49413.0000,8554.272627,0.7602,0.1488,0.0910
134.03,798915,42930.0000,48069.0000,8554.034078,0.7602,0.1488,0.0910
135.03,803762,42930.0000,51021.0000,8553.795520,0.7602,0.1488,0.0910
136.03,808605,42930.0000,50499.0000,8553.557012,0.7602,0.1488,0.0910
137.03,813354,42930.0000,49944.0000,8553.318491,0.7602,0.1488,0.0910
138.03,817982,42930.0000,49541.0000,8553.079912,0.7602,0.1488,0.0910
139.03,822808,42930.0000,50934.0000,8552.841382,0.7602,0.1488,0.0910
140.03,827628,42930.0000,51432.0000,8552.602860,0.7804,0.1395,0.0801
141.03,832472,42930.0000,49650.0000,8552.364338,0.7804,0.1395,0.0801
142.03,837248,42930.0000,50740.0000,8552.125785,0.7804,0.1395,0.0801
143.03,842082,42930.0000,50425.0000,8551.887241,0.7804,0.1395,0.0801
144.03,846830,42930.0000,49605.0000,8551.648738,0.7804,0.1395,0.0801
145.03,851532,42930.0000,49902.0000,8551.410187,0.7804,0.1395,0.0801
146.03,856192,42930.0000,48861.0000,8551.171634,0.7804,0.1395,0.0801
147.03,860913,42930.0000,50949.0000,8550.933083,0.7804,0.1395,0.0801
148.03,865761,42930.0000,49378.0000,8550.694573,0.7804,0.1395,0.0801
149.03,870558,42930.0000,51294.0000,8550.455978,0.7804,0.1395,0.0801
150.03,875362,42930.0000,50008.0000,8550.217424,0.7804,0.1395,0.0801
151.03,880099,42930.0000,51375.0000,8549.978877,0.7804,0.1395,0.0801
152.03,884811,42930.0000,49372.0000,8549.740368,0.7804,0.1395,0.0801
153.03,889538,42930.0000,49856.0000,8549.501829,0.7804,0.1395,0.0801
154.03,894242,42930.0000,49688.0000,8549.263301,0.7804,0.1395,0.0801
155.03,899071,42930.0000,51154.0000,8549.024756,0.7804,0.1395,0.0801
156.03,903861,42930.0000,51313.0000,8548.786225,0.7804,0.1395,0.0801
157.03,908559,42930.0000,50420.0000,8548.547704,0.7804,0.1395,0.0801
158.03,913203,42930.0000,50465.0000,8548.309146,0.7804,0.1395,0.0801
159.03,917882,42930.0000,51351.0000,8548.070535,0.7804,0.1395,0.0801
160.03,922618,42930.0000,51150.0000,8547.832025,0.7951,0.1322,0.0727
161.03,927452,42930.0000,50608.0000,8547.593500,0.7951,0.1322,0.0727
162.03,932082,42930.0000,49521.0000,8547.354997,0.7951,0.1322,0.0727
163.03,936782,42930.0000,51384.0000,8547.116419,0.7951,0.1322,0.0727
164.03,941373,42930.0000,50043.0000,8546.877876,0.7951,0.1322,0.0727
165.03,946040,42930.0000,51407.0000,8546.639268,0.7951,0.1322,0.0727
166.03,950154,42930.0000,50438.0000,8546.400720,0.7951,0.1322,0.0727
167.03,954084,42930.0000,49456.0000,8546.162168,0.7951,0.1322,0.0727
168.04,958490,42930.0000,50032.0000,8545.923622,0.7951,0.1322,0.0727
169.04,962624,42930.0000,51068.0000,8545.685102,0.7951,0.1322,0.0727
170.04,967075,42930.0000,49991.0000,8545.446551,0.7951,0.1322,0.0727
171.04,971502,42930.0000,49329.0000,8545.208005,0.7951,0.1322,0.0727
172.04,975949,42930.0000,50081.0000,8544.969464,0.7951,0.1322,0.0727
173.04,980266,42930.0000,50884.0000,8544.730931,0.7951,0.1322,0.0727
174.04,984573,42930.0000,49441.0000,8544.492398,0.7951,0.1322,0.0727
175.04,988917,42930.0000,51186.0000,8544.253848,0.7951,0.1322,0.0727
176.04,993291,42930.0000,50716.0000,8544.015325,0.7951,0.1322,0.0727
177.04,997745,42930.0000,51133.0000,8543.776782,0.7951,0.1322,0.0727
178.04,1001967,42930.0000,50540.0000,8543.538239,0.7951,0.1322,0.0727
179.04,1006306,42930.0000,50183.0000,8543.299686,0.7951,0.1322,0.0727
180.04,1010753,42930.0000,50877.0000,8543.061169,0.8053,0.1285,0.0662
181.04,1014475,42930.0000,50893.0000,8542.821458,0.8053,0.1285,0.0662
182.04,1018976,42930.0000,50817.0000,8542.582917,0.8053,0.1285,0.0662
183.04,1023247,42930.0000,50059.0000,8542.344326,0.8053,0.1285,0.0662
184.04,1027620,42930.0000,50189.0000,8542.105799,0.8053,0.1285,0.0662
185.04,1032023,42930.0000,49745.0000,8541.867219,0.8053,0.1285,0.0662
186.04,1036281,42930.0000,49509.0000,8541.628699,0.8053,0.1285,0.0662
187.04,1040619,42930.0000,51197.0000,8541.390153,0.8053,0.1285,0.0662
188.04,1044946,42930.0000,48230.0000,8541.151519,0.8053,0.1285,0.0662
189.04,1049289,42930.0000,51172.0000,8540.912951,0.8053,0.1285,0.0662
190.04,1053522,42848.0000,49931.0000,8524.361020,0.8053,0.1285,0.0662
191.04,1057714,42848.0000,49434.0000,8524.122937,0.8053,0.1285,0.0662
192.04,1061458,42848.0000,51245.0000,8523.884798,0.8053,0.1285,0.0662
