elapsed_secs,iter,best_score,incumbent_score,temp,w0,w1,w2
10.53,145000,1421.0000,2310.0000,624.191544,2.3272,0.0166,0.6562
10.63,146000,1421.0000,2234.0000,584.917743,2.3272,0.0166,0.6562
10.95,149000,1421.0000,2101.0000,490.786791,2.3272,0.0166,0.6562
11.17,151000,1421.0000,2459.0000,435.823230,2.3272,0.0166,0.6562
11.27,152000,1421.0000,1911.0000,411.475707,2.3272,0.0166,0.6562
11.69,156000,1421.0000,2494.0000,327.374311,2.3272,0.0166,0.6562
11.89,158000,1421.0000,2350.0000,291.119239,2.3272,0.0166,0.6562
12.00,159000,1421.0000,1951.0000,274.993404,2.3272,0.0166,0.6562
12.40,163000,1421.0000,1973.0000,218.438794,2.3272,0.0166,0.6562
12.50,164000,1421.0000,2100.0000,206.586754,2.3272,0.0166,0.6562
12.61,165000,1421.0000,1925.0000,194.734295,1.8511,0.6333,0.5156
12.77,167000,1421.0000,1676.0000,178.120430,1.8511,0.6333,0.5156
12.85,168000,1421.0000,1769.0000,170.727949,1.8511,0.6333,0.5156
13.25,173000,1421.0000,2144.0000,135.630592,1.8511,0.6333,0.5156
13.33,174000,1421.0000,1759.0000,129.677116,1.8511,0.6333,0.5156
13.49,176000,1390.0000,1780.0000,118.744338,1.8511,0.6333,0.5156
13.56,177000,1390.0000,1611.0000,113.918664,1.8511,0.6333,0.5156
13.78,180000,1390.0000,1919.0000,99.905329,2.3605,0.2090,0.4305
13.87,181000,1390.0000,1876.0000,95.024793,2.3605,0.2090,0.4305
13.97,182000,1390.0000,1746.0000,89.842178,2.3605,0.2090,0.4305
14.07,183000,1390.0000,2090.0000,85.095221,2.3605,0.2090,0.4305
14.26,185000,1390.0000,1726.0000,76.930435,2.5582,0.0556,0.3863
14.36,186000,1390.0000,1615.0000,72.982361,2.5582,0.0556,0.3863
14.67,189000,1390.0000,1592.0000,61.933992,2.5582,0.0556,0.3863
14.77,190000,1390.0000,1635.0000,58.585479,2.5626,0.0175,0.4199
14.87,191000,1390.0000,1486.0000,55.406934,2.5626,0.0175,0.4199
15.25,195000,1390.0000,1660.0000,43.762698,2.4824,0.0100,0.5104
15.34,196000,1390.0000,1543.0000,41.691527,2.4824,0.0100,0.5104
